"","category","gene"
"shared.egf.si213","shared.egf.si","FAM101A,ZNF664,ZNF664-FAM101A"
"shared.egf.si214","shared.egf.si","FAM102A"
"shared.egf.si215","shared.egf.si","FAM109A"
"shared.egf.si216","shared.egf.si","FAM32A"
"shared.egf.si217","shared.egf.si","FAM83G"
"shared.egf.si218","shared.egf.si","FBLIM1"
"shared.egf.si219","shared.egf.si","FBP1"
"shared.egf.si220","shared.egf.si","FLJ22763"
"shared.egf.si221","shared.egf.si","FUOM"
"shared.egf.si222","shared.egf.si","FZR1"
"shared.egf.si223","shared.egf.si","GABRA4"
"shared.egf.si224","shared.egf.si","GAL3ST1"
"shared.egf.si225","shared.egf.si","GALK1"
"shared.egf.si226","shared.egf.si","GALNT6"
"shared.egf.si227","shared.egf.si","GALT"
"shared.egf.si228","shared.egf.si","GATA4"
"shared.egf.si229","shared.egf.si","GATA5"
"shared.egf.si230","shared.egf.si","GCNT4"
"shared.egf.si231","shared.egf.si","GFI1B"
"shared.egf.si232","shared.egf.si","GGT1"
"shared.egf.si233","shared.egf.si","GLOD5"
"shared.egf.si234","shared.egf.si","GLRX"
"shared.egf.si235","shared.egf.si","GLYCTK"
"shared.egf.si236","shared.egf.si","GNA11"
"shared.egf.si237","shared.egf.si","GNB1"
"shared.egf.si238","shared.egf.si","GOLT1A"
"shared.egf.si239","shared.egf.si","GOSR2"
"shared.egf.si240","shared.egf.si","GPD1"
"shared.egf.si241","shared.egf.si","GPR108"
"shared.egf.si242","shared.egf.si","GPR35"
"shared.egf.si243","shared.egf.si","GRAMD1B"
"shared.egf.si244","shared.egf.si","GRIA1"
"shared.egf.si245","shared.egf.si","GRK5"
"shared.egf.si246","shared.egf.si","GRTP1-AS1"
"shared.egf.si247","shared.egf.si","GSDMB"
"shared.egf.si248","shared.egf.si","GSK3A"
"shared.egf.si249","shared.egf.si","GSTA1"
"shared.egf.si250","shared.egf.si","GSTA2"
"shared.egf.si251","shared.egf.si","GSTK1"
"shared.egf.si252","shared.egf.si","GSTM4"
"shared.egf.si253","shared.egf.si","GTF2I"
"shared.egf.si254","shared.egf.si","GTPBP1"
"shared.egf.si255","shared.egf.si","GUCD1"
"shared.egf.si256","shared.egf.si","HADHB"
"shared.egf.si257","shared.egf.si","HAGH"
"shared.egf.si258","shared.egf.si","HAPLN4"
"shared.egf.si259","shared.egf.si","HDAC6"
"shared.egf.si260","shared.egf.si","HDGF"
"shared.egf.si261","shared.egf.si","HDHD3"
"shared.egf.si262","shared.egf.si","HEBP1"
"shared.egf.si263","shared.egf.si","HECTD3"
"shared.egf.si264","shared.egf.si","HIP1R"
"shared.egf.si265","shared.egf.si","HLA-F"
"shared.egf.si266","shared.egf.si","HMGA1"
"shared.egf.si267","shared.egf.si","HNF1A"
"shared.egf.si268","shared.egf.si","HNF4A-AS1"
"shared.egf.si269","shared.egf.si","HOPX"
"shared.egf.si270","shared.egf.si","HPS1"
"shared.egf.si271","shared.egf.si","HRASLS2"
"shared.egf.si272","shared.egf.si","HRH2"
"shared.egf.si273","shared.egf.si","HSD3B7"
"shared.egf.si274","shared.egf.si","HYKK"
"shared.egf.si275","shared.egf.si","IDNK"
"shared.egf.si276","shared.egf.si","IFIT3"
"shared.egf.si277","shared.egf.si","IFNLR1"
"shared.egf.si278","shared.egf.si","IGSF23"
"shared.egf.si279","shared.egf.si","IL22RA1"
"shared.egf.si280","shared.egf.si","IL2RB"
"shared.egf.si281","shared.egf.si","ILVBL"
"shared.egf.si282","shared.egf.si","IMMP2L"
"shared.egf.si283","shared.egf.si","INPP5J"
"shared.egf.si284","shared.egf.si","INTS12"
"shared.egf.si285","shared.egf.si","IQSEC2"
"shared.egf.si286","shared.egf.si","IRF1"
"shared.egf.si287","shared.egf.si","ISG20"
"shared.egf.si288","shared.egf.si","ITM2B"
"shared.egf.si289","shared.egf.si","ITPK1"
"shared.egf.si290","shared.egf.si","ITPKA"
"shared.egf.si291","shared.egf.si","KALRN"
"shared.egf.si292","shared.egf.si","KDF1"
"shared.egf.si293","shared.egf.si","KDM6B"
"shared.egf.si294","shared.egf.si","KDM8"
"shared.egf.si295","shared.egf.si","KHK"
"shared.egf.si296","shared.egf.si","KIAA0141"
"shared.egf.si297","shared.egf.si","KIAA1551"
"shared.egf.si298","shared.egf.si","KIAA2013"
"shared.egf.si299","shared.egf.si","KLC4"
"shared.egf.si300","shared.egf.si","KLHDC8B"
"shared.egf.si301","shared.egf.si","LASP1"
"shared.egf.si302","shared.egf.si","LBX2-AS1"
"shared.egf.si303","shared.egf.si","LEAP2"
"shared.egf.si304","shared.egf.si","LHPP"
"shared.egf.si305","shared.egf.si","LINC00319"
"shared.egf.si306","shared.egf.si","LINC00330"
"shared.egf.si307","shared.egf.si","LINC00483"
"shared.egf.si308","shared.egf.si","LINC00574"
"shared.egf.si309","shared.egf.si","LINC00667"
"shared.egf.si310","shared.egf.si","LINC01137"
"shared.egf.si311","shared.egf.si","LINC01347"
"shared.egf.si312","shared.egf.si","LIPE"
"shared.egf.si313","shared.egf.si","LIPT1"
"shared.egf.si314","shared.egf.si","LMBR1L"
"shared.egf.si315","shared.egf.si","LOC100093631"
"shared.egf.si316","shared.egf.si","LOC100506302"
"shared.egf.si317","shared.egf.si","LOC100507334"
"shared.egf.si318","shared.egf.si","LOC101927051"
"shared.egf.si319","shared.egf.si","LOC284825"
"shared.egf.si320","shared.egf.si","LOC90768"
"shared.egf.si321","shared.egf.si","LPCAT3"
"shared.egf.si322","shared.egf.si","LRP5"
"shared.egf.si323","shared.egf.si","LRRC28"
"shared.egf.si324","shared.egf.si","LRRC41"
"shared.egf.si325","shared.egf.si","LRRC66"
"shared.egf.si326","shared.egf.si","LRRC75A"
"shared.egf.si327","shared.egf.si","LSMEM2"
"shared.egf.si328","shared.egf.si","LYRM5"
"shared.egf.si329","shared.egf.si","LZTS3"
"shared.egf.si330","shared.egf.si","MALL"
"shared.egf.si331","shared.egf.si","MAP2K3"
"shared.egf.si332","shared.egf.si","MAP3K11"
"shared.egf.si333","shared.egf.si","MAPK3"
"shared.egf.si334","shared.egf.si","MAPKAPK2"
"shared.egf.si335","shared.egf.si","MAPKBP1"
"shared.egf.si336","shared.egf.si","MARC2"
"shared.egf.si337","shared.egf.si","MBD1"
"shared.egf.si338","shared.egf.si","MCRS1"
"shared.egf.si339","shared.egf.si","MCUR1"
"shared.egf.si340","shared.egf.si","MEP1A"
"shared.egf.si341","shared.egf.si","MEP1B"
"shared.egf.si342","shared.egf.si","METTL17"
"shared.egf.si343","shared.egf.si","METTL7B"
"shared.egf.si344","shared.egf.si","MFSD2A"
"shared.egf.si345","shared.egf.si","MGAM"
"shared.egf.si346","shared.egf.si","MGAM2"
"shared.egf.si347","shared.egf.si","MGAT3"
"shared.egf.si348","shared.egf.si","MGST3"
"shared.egf.si349","shared.egf.si","MICAL1,ZBTB24"
"shared.egf.si350","shared.egf.si","MICU1"
"shared.egf.si351","shared.egf.si","MIR1268A,SLC27A4"
"shared.egf.si352","shared.egf.si","MIR22,MIR22HG"
"shared.egf.si353","shared.egf.si","MIR3615,SLC9A3R1"
"shared.egf.si354","shared.egf.si","MIR5187,TOMM40L"
"shared.egf.si355","shared.egf.si","MIR5193,UBA7"
"shared.egf.si356","shared.egf.si","MIR639,TECR"
"shared.egf.si357","shared.egf.si","MIR7109,PISD"
"shared.egf.si358","shared.egf.si","MIR7703,PSME2"
"shared.egf.si359","shared.egf.si","MISP"
"shared.egf.si360","shared.egf.si","MLF2"
"shared.egf.si361","shared.egf.si","MLX"
"shared.egf.si362","shared.egf.si","MLXIPL"
"shared.egf.si363","shared.egf.si","MME"
"shared.egf.si364","shared.egf.si","MMEL1"
"shared.egf.si365","shared.egf.si","MMP24"
"shared.egf.si366","shared.egf.si","MOCOS"
"shared.egf.si367","shared.egf.si","MOCS1"
"shared.egf.si368","shared.egf.si","MOGAT2"
"shared.egf.si369","shared.egf.si","MOGAT3"
"shared.egf.si370","shared.egf.si","MOGS"
"shared.egf.si371","shared.egf.si","MON1A"
"shared.egf.si372","shared.egf.si","MOV10"
"shared.egf.si373","shared.egf.si","MPP1"
"shared.egf.si374","shared.egf.si","MS4A8"
"shared.egf.si375","shared.egf.si","MSRA"
"shared.egf.si376","shared.egf.si","MST1"
"shared.egf.si377","shared.egf.si","MST1R"
"shared.egf.si378","shared.egf.si","MTTP"
"shared.egf.si379","shared.egf.si","MUC17"
"shared.egf.si380","shared.egf.si","MYD88"
"shared.egf.si381","shared.egf.si","MYO15B"
"shared.egf.si382","shared.egf.si","MYO19"
"shared.egf.si383","shared.egf.si","MYRF"
"shared.egf.si384","shared.egf.si","NAALADL1"
"shared.egf.si385","shared.egf.si","NAGS"
"shared.egf.si386","shared.egf.si","NAPRT"
"shared.egf.si387","shared.egf.si","NCK2"
"shared.egf.si388","shared.egf.si","NCSTN"
"shared.egf.si389","shared.egf.si","NELL2"
"shared.egf.si390","shared.egf.si","NGEF"
"shared.egf.si391","shared.egf.si","NIT1"
"shared.egf.si392","shared.egf.si","NLRP6"
"shared.egf.si393","shared.egf.si","NOL4L"
"shared.egf.si394","shared.egf.si","NOP9"
"shared.egf.si395","shared.egf.si","NPC1L1"
"shared.egf.si396","shared.egf.si","NPY6R"
"shared.egf.si397","shared.egf.si","NQO2"
"shared.egf.si398","shared.egf.si","NR0B2"
"shared.egf.si399","shared.egf.si","NR1H3"
"shared.egf.si400","shared.egf.si","NR1I3"
"shared.egf.si401","shared.egf.si","NUCB1"
"shared.egf.si402","shared.egf.si","NUTM2B-AS1"
"shared.egf.si403","shared.egf.si","OCIAD2"
"shared.egf.si404","shared.egf.si","OGDH"
"shared.egf.si405","shared.egf.si","OGG1"
"shared.egf.si406","shared.egf.si","OTC"
"shared.egf.si407","shared.egf.si","OXNAD1"
"shared.egf.si408","shared.egf.si","P4HB"
"shared.egf.si409","shared.egf.si","PAOX"
"shared.egf.si410","shared.egf.si","PARP2"
"shared.egf.si411","shared.egf.si","PARP3"
"shared.egf.si412","shared.egf.si","PBLD"
"shared.egf.si413","shared.egf.si","PBX2"
"shared.egf.si414","shared.egf.si","PCBP2,PCBP2-OT1"
"shared.egf.si415","shared.egf.si","PCK2"
"shared.egf.si416","shared.egf.si","PCSK5"
"shared.egf.si417","shared.egf.si","PCYT1A"
"shared.egf.si418","shared.egf.si","PDE8B"
"shared.egf.si419","shared.egf.si","PDLIM2"
"shared.egf.si420","shared.egf.si","PDSS1"
"shared.egf.si421","shared.egf.si","PDXP"
"shared.egf.si422","shared.egf.si","PDZD7"
"shared.egf.si423","shared.egf.si","PEBP1"
"shared.egf.si424","shared.egf.si","PEPD"
"shared.egf.si425","shared.egf.si","PEX14"
"shared.egf.si426","shared.egf.si","PEX16"
"shared.egf.si427","shared.egf.si","PFKL"
"shared.egf.si428","shared.egf.si","PFKP"
"shared.egf.si429","shared.egf.si","PGD"
"shared.egf.si430","shared.egf.si","PGRMC2"
"shared.egf.si431","shared.egf.si","PGS1"
"shared.egf.si432","shared.egf.si","PIM1"
"shared.egf.si433","shared.egf.si","PIP5K1A"
"shared.egf.si434","shared.egf.si","PKLR"
"shared.egf.si435","shared.egf.si","PLCB3"
"shared.egf.si436","shared.egf.si","PLEK2"
"shared.egf.si437","shared.egf.si","PLEKHA7"
"shared.egf.si438","shared.egf.si","PLEKHS1"
"shared.egf.si439","shared.egf.si","PLIN3"
"shared.egf.si440","shared.egf.si","PLLP"
"shared.egf.si441","shared.egf.si","PMM1"
"shared.egf.si442","shared.egf.si","PNLIPRP2"
"shared.egf.si443","shared.egf.si","PNP"
"shared.egf.si444","shared.egf.si","POLR3H"
"shared.egf.si445","shared.egf.si","POMGNT1"
"shared.egf.si446","shared.egf.si","POR"
"shared.egf.si447","shared.egf.si","PP7080"
"shared.egf.si448","shared.egf.si","PPIP5K1"
"shared.egf.si449","shared.egf.si","PPP2R5D"
"shared.egf.si450","shared.egf.si","PPP6R1"
"shared.egf.si451","shared.egf.si","PQBP1"
"shared.egf.si452","shared.egf.si","PQLC2"
"shared.egf.si453","shared.egf.si","PRAP1"
"shared.egf.si454","shared.egf.si","PRDX2"
"shared.egf.si455","shared.egf.si","PRKCD"
"shared.egf.si456","shared.egf.si","PRKCZ"
"shared.egf.si457","shared.egf.si","PRKD2"
"shared.egf.si458","shared.egf.si","PRODH"
"shared.egf.si459","shared.egf.si","PRR13"
"shared.egf.si460","shared.egf.si","PRSS1"
"shared.egf.si461","shared.egf.si","PRSS3P2"
"shared.egf.si462","shared.egf.si","PSD4"
"shared.egf.si463","shared.egf.si","PSMA1"
"shared.egf.si464","shared.egf.si","PSMB10"
"shared.egf.si465","shared.egf.si","PSMB8"
"shared.egf.si466","shared.egf.si","PSMB9"
"shared.egf.si467","shared.egf.si","PSMD9"
"shared.egf.si468","shared.egf.si","PSME1"
"shared.egf.si469","shared.egf.si","PTK2B"
"shared.egf.si470","shared.egf.si","PTPRH"
"shared.egf.si471","shared.egf.si","PVRL2"
"shared.egf.si472","shared.egf.si","PXDC1"
"shared.egf.si473","shared.egf.si","QRICH1"
"shared.egf.si474","shared.egf.si","RAB11FIP3"
"shared.egf.si475","shared.egf.si","RAB17"
"shared.egf.si476","shared.egf.si","RAB5C"
"shared.egf.si477","shared.egf.si","RAB8A"
"shared.egf.si478","shared.egf.si","RARA"
"shared.egf.si479","shared.egf.si","RARRES3"
"shared.egf.si480","shared.egf.si","RASSF4"
"shared.egf.si481","shared.egf.si","RBP2"
"shared.egf.si482","shared.egf.si","REEP6"
"shared.egf.si483","shared.egf.si","REG1A"
"shared.egf.si484","shared.egf.si","RFX5"
"shared.egf.si485","shared.egf.si","RGN"
"shared.egf.si486","shared.egf.si","RIC3"
"shared.egf.si487","shared.egf.si","RIPK3"
"shared.egf.si488","shared.egf.si","RIPK4"
"shared.egf.si489","shared.egf.si","RMDN3"
"shared.egf.si490","shared.egf.si","RMND1"
"shared.egf.si491","shared.egf.si","RNF10"
"shared.egf.si492","shared.egf.si","RNF123"
"shared.egf.si493","shared.egf.si","RNF167"
"shared.egf.si494","shared.egf.si","RRNAD1"
"shared.egf.si495","shared.egf.si","RTKN"
"shared.egf.si496","shared.egf.si","RTP4"
"shared.egf.si497","shared.egf.si","SAPCD1-AS1,VWA7"
"shared.egf.si498","shared.egf.si","SAT2"
"shared.egf.si499","shared.egf.si","SCAMP5"
"shared.egf.si500","shared.egf.si","SCARB1"
"shared.egf.si501","shared.egf.si","SCML4"
"shared.egf.si502","shared.egf.si","SCNN1D"
"shared.egf.si503","shared.egf.si","SCRN2"
"shared.egf.si504","shared.egf.si","SDHD"
"shared.egf.si505","shared.egf.si","SEC13"
"shared.egf.si506","shared.egf.si","SEC14L2"
"shared.egf.si507","shared.egf.si","SEC16B"
"shared.egf.si508","shared.egf.si","SFRP5"
"shared.egf.si509","shared.egf.si","SFXN3"
"shared.egf.si510","shared.egf.si","SH3BP1"
"shared.egf.si511","shared.egf.si","SH3GL1"
"shared.egf.si512","shared.egf.si","SHPK,TRPV1"
"shared.egf.si513","shared.egf.si","SIDT2"
"shared.egf.si514","shared.egf.si","SIGLEC12"
"shared.egf.si515","shared.egf.si","SLC12A7"
"shared.egf.si516","shared.egf.si","SLC13A2"
"shared.egf.si517","shared.egf.si","SLC16A13"
"shared.egf.si518","shared.egf.si","SLC16A5"
"shared.egf.si519","shared.egf.si","SLC19A1"
"shared.egf.si520","shared.egf.si","SLC22A18"
"shared.egf.si521","shared.egf.si","SLC22A4"
"shared.egf.si522","shared.egf.si","SLC23A1"
"shared.egf.si523","shared.egf.si","SLC25A20"
"shared.egf.si524","shared.egf.si","SLC25A44"
"shared.egf.si525","shared.egf.si","SLC25A45"
"shared.egf.si526","shared.egf.si","SLC25A5"
"shared.egf.si527","shared.egf.si","SLC26A11"
"shared.egf.si528","shared.egf.si","SLC2A12"
"shared.egf.si529","shared.egf.si","SLC2A5"
"shared.egf.si530","shared.egf.si","SLC2A9"
"shared.egf.si531","shared.egf.si","SLC35B1"
"shared.egf.si532","shared.egf.si","SLC37A4"
"shared.egf.si533","shared.egf.si","SLC39A5"
"shared.egf.si534","shared.egf.si","SLC3A2"
"shared.egf.si535","shared.egf.si","SLC52A1"
"shared.egf.si536","shared.egf.si","SLC5A1"
"shared.egf.si537","shared.egf.si","SLC5A6"
"shared.egf.si538","shared.egf.si","SLC6A19"
"shared.egf.si539","shared.egf.si","SLC6A20"
"shared.egf.si540","shared.egf.si","SLC7A7"
"shared.egf.si541","shared.egf.si","SLC7A9"
"shared.egf.si542","shared.egf.si","SLC9A3"
"shared.egf.si543","shared.egf.si","SLX4"
"shared.egf.si544","shared.egf.si","SMAD3"
"shared.egf.si545","shared.egf.si","SMARCD1"
"shared.egf.si546","shared.egf.si","SMIM24"
"shared.egf.si547","shared.egf.si","SMLR1"
"shared.egf.si548","shared.egf.si","SMOX"
"shared.egf.si549","shared.egf.si","SMPD3"
"shared.egf.si550","shared.egf.si","SOAT2"
"shared.egf.si551","shared.egf.si","SPANXN3"
"shared.egf.si552","shared.egf.si","SPHK2"
"shared.egf.si553","shared.egf.si","SPNS3"
"shared.egf.si554","shared.egf.si","SRC"
"shared.egf.si555","shared.egf.si","SSTR1"
"shared.egf.si556","shared.egf.si","ST7,ST7-OT3"
"shared.egf.si557","shared.egf.si","STAT6"
"shared.egf.si558","shared.egf.si","STAU1"
"shared.egf.si559","shared.egf.si","STK24"
"shared.egf.si560","shared.egf.si","SUCLG1"
"shared.egf.si561","shared.egf.si","SULT1A1"
"shared.egf.si562","shared.egf.si","SULT1A2"
"shared.egf.si563","shared.egf.si","SULT2A1"
"shared.egf.si564","shared.egf.si","SYP"
"shared.egf.si565","shared.egf.si","TAP2"
"shared.egf.si566","shared.egf.si","TBK1"
"shared.egf.si567","shared.egf.si","TCF7"
"shared.egf.si568","shared.egf.si","TFG"
"shared.egf.si569","shared.egf.si","THRA"
"shared.egf.si570","shared.egf.si","TIAM2"
"shared.egf.si571","shared.egf.si","TICAM1"
"shared.egf.si572","shared.egf.si","TJAP1"
"shared.egf.si573","shared.egf.si","TKFC"
"shared.egf.si574","shared.egf.si","TLDC2"
"shared.egf.si575","shared.egf.si","TM4SF4"
"shared.egf.si576","shared.egf.si","TM4SF5"
"shared.egf.si577","shared.egf.si","TM6SF2"
"shared.egf.si578","shared.egf.si","TMED4"
"shared.egf.si579","shared.egf.si","TMEM116"
"shared.egf.si580","shared.egf.si","TMEM120A"
"shared.egf.si581","shared.egf.si","TMEM139"
"shared.egf.si582","shared.egf.si","TMEM150B"
"shared.egf.si583","shared.egf.si","TMEM177"
"shared.egf.si584","shared.egf.si","TMEM184A"
"shared.egf.si585","shared.egf.si","TMEM229B"
"shared.egf.si586","shared.egf.si","TMEM253"
"shared.egf.si587","shared.egf.si","TMEM25,TTC36"
"shared.egf.si588","shared.egf.si","TMEM37"
"shared.egf.si589","shared.egf.si","TMEM51"
"shared.egf.si590","shared.egf.si","TMEM51-AS1"
"shared.egf.si591","shared.egf.si","TMEM82"
"shared.egf.si592","shared.egf.si","TMEM86B"
"shared.egf.si593","shared.egf.si","TMEM92"
"shared.egf.si594","shared.egf.si","TNFRSF14"
"shared.egf.si595","shared.egf.si","TNFRSF1A"
"shared.egf.si596","shared.egf.si","TNIK"
"shared.egf.si597","shared.egf.si","TOM1"
"shared.egf.si598","shared.egf.si","TOM1L1"
"shared.egf.si599","shared.egf.si","TOX4"
"shared.egf.si600","shared.egf.si","TPI1"
"shared.egf.si601","shared.egf.si","TRAF4"
"shared.egf.si602","shared.egf.si","TREH"
"shared.egf.si603","shared.egf.si","TRIM14"
"shared.egf.si604","shared.egf.si","TRIM15"
"shared.egf.si605","shared.egf.si","TRIM16"
"shared.egf.si606","shared.egf.si","TRIM21"
"shared.egf.si607","shared.egf.si","TTC38"
"shared.egf.si608","shared.egf.si","UBXN2A"
"shared.egf.si609","shared.egf.si","UGT3A1"
"shared.egf.si610","shared.egf.si","UNC5CL"
"shared.egf.si611","shared.egf.si","USF1"
"shared.egf.si612","shared.egf.si","USH1C"
"shared.egf.si613","shared.egf.si","USP10"
"shared.egf.si614","shared.egf.si","USP2"
"shared.egf.si615","shared.egf.si","VRK3"
"shared.egf.si616","shared.egf.si","VRTN"
"shared.egf.si617","shared.egf.si","WBP2"
"shared.egf.si618","shared.egf.si","WDR45"
"shared.egf.si619","shared.egf.si","WDTC1"
"shared.egf.si620","shared.egf.si","WNT3"
"shared.egf.si621","shared.egf.si","WWC1"
"shared.egf.si622","shared.egf.si","XAF1"
"shared.egf.si623","shared.egf.si","XDH"
"shared.egf.si624","shared.egf.si","XPNPEP1"
"shared.egf.si625","shared.egf.si","ZDHHC9"
"shared.egf.si626","shared.egf.si","ZER1"
"shared.egf.si627","shared.egf.si","ZFAND3"
"shared.egf.si628","shared.egf.si","ZFYVE27"
"shared.egf.si629","shared.egf.si","ZMYND15"
"shared.egf.si630","shared.egf.si","ZNF384"
"shared.egf.si631","shared.egf.si","ZNF782"
"shared.egf.si632","shared.egf.si","ZRANB2-AS1"
"shared.egf.si633","shared.egf.si","ZSWIM8"
"shared.bmpnog.colon1","shared.bmpnog.colon","AAGAB"
"shared.bmpnog.colon2","shared.bmpnog.colon","ABCA12"
"shared.bmpnog.colon3","shared.bmpnog.colon","ACTR2"
"shared.bmpnog.colon4","shared.bmpnog.colon","ADAM10"
"shared.bmpnog.colon5","shared.bmpnog.colon","ADAM22"
"shared.bmpnog.colon6","shared.bmpnog.colon","AGPS"
"shared.bmpnog.colon7","shared.bmpnog.colon","AGTPBP1"
"shared.bmpnog.colon8","shared.bmpnog.colon","AKAP13,MIR7706"
"shared.bmpnog.colon9","shared.bmpnog.colon","ALDH1B1"
"shared.bmpnog.colon10","shared.bmpnog.colon","ALG5"
"shared.bmpnog.colon11","shared.bmpnog.colon","ANKDD1B"
"shared.bmpnog.colon12","shared.bmpnog.colon","ANKRD30BP2"
"shared.bmpnog.colon13","shared.bmpnog.colon","ANTXR2"
"shared.bmpnog.colon14","shared.bmpnog.colon","ANXA3"
"shared.bmpnog.colon15","shared.bmpnog.colon","ARFGEF3"
"shared.bmpnog.colon16","shared.bmpnog.colon","ARHGAP44"
"shared.bmpnog.colon17","shared.bmpnog.colon","ARPC5"
"shared.bmpnog.colon18","shared.bmpnog.colon","ASCC1"
"shared.bmpnog.colon19","shared.bmpnog.colon","ASIP"
"shared.bmpnog.colon20","shared.bmpnog.colon","ATF6"
"shared.bmpnog.colon21","shared.bmpnog.colon","ATOH1"
"shared.bmpnog.colon22","shared.bmpnog.colon","ATXN3"
"shared.bmpnog.colon23","shared.bmpnog.colon","B3GALNT2"
"shared.bmpnog.colon24","shared.bmpnog.colon","B3GNT6"
"shared.bmpnog.colon25","shared.bmpnog.colon","B4GALNT3"
"shared.bmpnog.colon26","shared.bmpnog.colon","BCAS1"
"shared.bmpnog.colon27","shared.bmpnog.colon","BCL10"
"shared.bmpnog.colon28","shared.bmpnog.colon","BCLAF1"
"shared.bmpnog.colon29","shared.bmpnog.colon","BEND3"
"shared.bmpnog.colon30","shared.bmpnog.colon","BEST2"
"shared.bmpnog.colon31","shared.bmpnog.colon","BTBD3"
"shared.bmpnog.colon32","shared.bmpnog.colon","BZW1"
"shared.bmpnog.colon33","shared.bmpnog.colon","C11orf58"
"shared.bmpnog.colon34","shared.bmpnog.colon","C12orf75"
"shared.bmpnog.colon35","shared.bmpnog.colon","CA12"
"shared.bmpnog.colon36","shared.bmpnog.colon","CAMSAP1"
"shared.bmpnog.colon37","shared.bmpnog.colon","CAPN2"
"shared.bmpnog.colon38","shared.bmpnog.colon","CAPRIN1"
"shared.bmpnog.colon39","shared.bmpnog.colon","CASC18"
"shared.bmpnog.colon40","shared.bmpnog.colon","CBFB"
"shared.bmpnog.colon41","shared.bmpnog.colon","CCPG1,DYX1C1,DYX1C1-CCPG1"
"shared.bmpnog.colon42","shared.bmpnog.colon","CD24"
"shared.bmpnog.colon43","shared.bmpnog.colon","CD9"
"shared.bmpnog.colon44","shared.bmpnog.colon","CDC23"
"shared.bmpnog.colon45","shared.bmpnog.colon","CEACAM6"
"shared.bmpnog.colon46","shared.bmpnog.colon","CEP290"
"shared.bmpnog.colon47","shared.bmpnog.colon","CFC1,CFC1B"
"shared.bmpnog.colon48","shared.bmpnog.colon","CLIC4"
"shared.bmpnog.colon49","shared.bmpnog.colon","CLMN"
"shared.bmpnog.colon50","shared.bmpnog.colon","CLNS1A"
"shared.bmpnog.colon51","shared.bmpnog.colon","CLSTN1"
"shared.bmpnog.colon52","shared.bmpnog.colon","CNTN3"
"shared.bmpnog.colon53","shared.bmpnog.colon","CSRNP3"
"shared.bmpnog.colon54","shared.bmpnog.colon","DAAM1"
"shared.bmpnog.colon55","shared.bmpnog.colon","DDX50"
"shared.bmpnog.colon56","shared.bmpnog.colon","DGKH"
"shared.bmpnog.colon57","shared.bmpnog.colon","DICER1"
"shared.bmpnog.colon58","shared.bmpnog.colon","DIP2B"
"shared.bmpnog.colon59","shared.bmpnog.colon","DMTN"
"shared.bmpnog.colon60","shared.bmpnog.colon","EARS2"
"shared.bmpnog.colon61","shared.bmpnog.colon","EBPL"
"shared.bmpnog.colon62","shared.bmpnog.colon","EEA1"
"shared.bmpnog.colon63","shared.bmpnog.colon","EHF"
"shared.bmpnog.colon64","shared.bmpnog.colon","EPHA10"
"shared.bmpnog.colon65","shared.bmpnog.colon","EPHB4"
"shared.bmpnog.colon66","shared.bmpnog.colon","EXOC5"
"shared.bmpnog.colon67","shared.bmpnog.colon","EXOC6"
"shared.bmpnog.colon68","shared.bmpnog.colon","FAM105A"
"shared.bmpnog.colon69","shared.bmpnog.colon","FAM169A"
"shared.bmpnog.colon70","shared.bmpnog.colon","FAM175A"
"shared.bmpnog.colon71","shared.bmpnog.colon","FAM218A"
"shared.bmpnog.colon72","shared.bmpnog.colon","FAM60A"
"shared.bmpnog.colon73","shared.bmpnog.colon","FAS"
"shared.bmpnog.colon74","shared.bmpnog.colon","FECH"
"shared.bmpnog.colon75","shared.bmpnog.colon","FERMT1"
"shared.bmpnog.colon76","shared.bmpnog.colon","FFAR4"
"shared.bmpnog.colon77","shared.bmpnog.colon","FGF7"
"shared.bmpnog.colon78","shared.bmpnog.colon","FKTN"
"shared.bmpnog.colon79","shared.bmpnog.colon","FMN2"
"shared.bmpnog.colon80","shared.bmpnog.colon","FRMPD3"
"shared.bmpnog.colon81","shared.bmpnog.colon","G3BP1"
"shared.bmpnog.colon82","shared.bmpnog.colon","GARS"
"shared.bmpnog.colon83","shared.bmpnog.colon","GCSH"
"shared.bmpnog.colon84","shared.bmpnog.colon","GGH"
"shared.bmpnog.colon85","shared.bmpnog.colon","GJB4"
"shared.bmpnog.colon86","shared.bmpnog.colon","GLIS3"
"shared.bmpnog.colon87","shared.bmpnog.colon","GLUL"
"shared.bmpnog.colon88","shared.bmpnog.colon","GMNN"
"shared.bmpnog.colon89","shared.bmpnog.colon","GNE"
"shared.bmpnog.colon90","shared.bmpnog.colon","GNPTAB"
"shared.bmpnog.colon91","shared.bmpnog.colon","GOT2"
"shared.bmpnog.colon92","shared.bmpnog.colon","GP9"
"shared.bmpnog.colon93","shared.bmpnog.colon","GRSF1"
"shared.bmpnog.colon94","shared.bmpnog.colon","GSPT1"
"shared.bmpnog.colon95","shared.bmpnog.colon","GYG2"
"shared.bmpnog.colon96","shared.bmpnog.colon","HDAC1"
"shared.bmpnog.colon97","shared.bmpnog.colon","HIATL1"
"shared.bmpnog.colon98","shared.bmpnog.colon","HK2"
"shared.bmpnog.colon99","shared.bmpnog.colon","HMGA2"
"shared.bmpnog.colon100","shared.bmpnog.colon","HN1L"
"shared.bmpnog.colon101","shared.bmpnog.colon","HNMT"
