"","category","gene"
"shared.nog.si127","shared.nog.si","GALT"
"shared.nog.si128","shared.nog.si","GATA4"
"shared.nog.si129","shared.nog.si","GATA5"
"shared.nog.si130","shared.nog.si","GATS"
"shared.nog.si131","shared.nog.si","GCHFR"
"shared.nog.si132","shared.nog.si","GIGYF1"
"shared.nog.si133","shared.nog.si","GNA11"
"shared.nog.si134","shared.nog.si","GOLT1A"
"shared.nog.si135","shared.nog.si","GOSR2"
"shared.nog.si136","shared.nog.si","GPD1"
"shared.nog.si137","shared.nog.si","GPRIN1"
"shared.nog.si138","shared.nog.si","GRAMD1B"
"shared.nog.si139","shared.nog.si","GRIA1"
"shared.nog.si140","shared.nog.si","GSDMB"
"shared.nog.si141","shared.nog.si","GSK3A"
"shared.nog.si142","shared.nog.si","GSTK1"
"shared.nog.si143","shared.nog.si","HADHA"
"shared.nog.si144","shared.nog.si","HAGH"
"shared.nog.si145","shared.nog.si","HAPLN4"
"shared.nog.si146","shared.nog.si","HEBP1"
"shared.nog.si147","shared.nog.si","HOPX"
"shared.nog.si148","shared.nog.si","HOXA4"
"shared.nog.si149","shared.nog.si","HPS1"
"shared.nog.si150","shared.nog.si","IDH3A"
"shared.nog.si151","shared.nog.si","IFIT3"
"shared.nog.si152","shared.nog.si","IGSF23"
"shared.nog.si153","shared.nog.si","IL2RB"
"shared.nog.si154","shared.nog.si","INTS12"
"shared.nog.si155","shared.nog.si","IRF1"
"shared.nog.si156","shared.nog.si","IRF8"
"shared.nog.si157","shared.nog.si","ISG20"
"shared.nog.si158","shared.nog.si","ITPK1"
"shared.nog.si159","shared.nog.si","KDM2A"
"shared.nog.si160","shared.nog.si","KDM6B"
"shared.nog.si161","shared.nog.si","KDM8"
"shared.nog.si162","shared.nog.si","KHK"
"shared.nog.si163","shared.nog.si","KIAA2013"
"shared.nog.si164","shared.nog.si","KIFC3"
"shared.nog.si165","shared.nog.si","KLC4"
"shared.nog.si166","shared.nog.si","LBX2-AS1"
"shared.nog.si167","shared.nog.si","LINC00574"
