"","gene_short_name","Noggin-TXP_2","Noggin-TXP_1","Noggin-TXP_0","BMP-TXP_0","BMP-TXP_2","BMP-TXP_1","adult-SI_3","adult-SI_2","adult-SI_0","adult-SI_1","adult-SI_4","adult-colon_2","adult-colon_1","adult-colon_0","EGF-TXP_0","EGF-TXP_1","EGF-TXP_2"
"A1BG","A1BG",104.774,89.903,141.486,184.455,51.1017,167.669,5.83718,4.48004,4.32233,7.00813,13.7292,12.1137,24.4155,12.7915,120.806,50.8984,255.496
"A1BG-AS1","A1BG-AS1",13.6069,14.9838,7.75265,17.3605,13.7581,12.2258,4.66974,7.16806,7.56408,9.81138,3.92262,5.43879,3.77004,8.18653,7.79393,6.56753,10.4998
"A1CF","A1CF",179.612,333.39,155.053,81.3771,163.132,137.977,1146.42,1140.62,1836.99,983.941,1380.76,804.941,172.524,1393.25,223.686,346.437,139.998
"A2M","A2M",3858.93,3599.87,5872.64,8031.38,4339.71,8493.46,6520.13,7658.17,5950.77,10050.4,5567.18,7162.64,22658.5,11024.7,3321.77,5754.8,4791.42
"A2M-AS1","A2M-AS1",53.0671,43.0785,32.9488,75.952,49.1362,57.6361,16.3441,8.96007,7.56408,24.5285,16.6711,19.5302,20.6455,9.7215,75.6011,37.7633,76.9987
"A2ML1","A2ML1",1.36069,0,0,0,2.94817,3.49309,0,1.79201,0,0,0,0.741653,0,0,2.33818,1.64188,0
"A2MP1","A2MP1",6.80347,0,0,1.08503,0.982724,0,0,0.896007,0,0,0,1.97774,1.07715,1.02332,0.779393,1.64188,0
"A3GALT2","A3GALT2",0,1.87298,0,5.42514,0,0,1.16744,0,0,0,0,0,0,0,2.33818,0,0
"A4GALT","A4GALT",83.0024,74.9192,265.528,277.767,122.841,265.475,98.0646,61.8245,32.4175,81.2943,54.9167,83.0651,210.584,42.4676,231.48,164.188,405.993
"A4GNT","A4GNT",1.36069,0,0,11.9353,0,1.74655,78.2182,1.79201,0,0,13.7292,0,0.897629,0,0,0,0
"AA06","AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAAS","AAAS",749.743,885.919,1034.98,872.363,607.323,791.186,298.863,216.834,313.369,297.145,320.674,205.438,195.683,214.896,948.521,852.137,1322.98
"AACS","AACS",508.9,367.104,443.839,563.13,546.395,579.854,724.977,269.698,290.677,301.35,316.752,345.363,264.8,584.825,466.077,627.199,507.492
"AACSP1","AACSP1",0,0,0,0,0,0,0,0.896007,0,0,0,0,0,0,0,1.64188,0
"AADAC","AADAC",1092.64,1101.31,395.385,107.418,387.193,57.6361,2256.65,2124.43,3482.72,2687.62,2710.53,0,0.359051,2.04663,961.771,1013.04,545.991
"AADACL2","AADACL2",0,0,0,0,0,0,0,7.16806,2.16116,2.80325,1.96131,0.98887,5.02672,1.53497,0,0,0
"AADACL2-AS1","AADACL2-AS1",0,0,0,0,0,3.49309,0,0,0,0,0,0,0,0,0,0,0
"AADACL3","AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4","AADACL4",0,0,0,2.17006,1.96545,0,0,3.58403,0,0,0,0,0,0.511658,0.779393,0,0
"AADACP1","AADACP1",19.0497,50.5704,27.1343,18.4455,26.5336,6.98619,156.436,59.1365,86.4466,99.5154,62.7619,22.2496,8.25818,31.2111,24.9406,31.1958,0
"AADAT","AADAT",99.3307,59.9353,65.8976,103.078,100.238,64.6222,33.8556,41.2163,8.64466,37.8439,16.6711,53.399,59.7821,51.1658,101.321,93.5874,125.998
"AAED1","AAED1",12.2463,18.7298,3.87633,27.1257,31.4472,22.7051,61.8741,77.0566,57.2709,47.6553,52.9554,44.0047,89.5833,52.7008,52.9987,55.824,76.9987
"AAGAB","AAGAB",382.355,359.612,358.56,404.716,460.898,405.199,412.105,462.34,318.772,339.894,343.229,669.218,604.284,663.109,236.935,395.694,150.498
"AAK1","AAK1",239.482,314.66,281.034,257.152,239.785,377.254,442.458,340.483,459.247,405.07,387.359,539.676,555.273,520.868,77.1599,126.425,118.998
"AAMDC","AAMDC",434.062,608.718,519.428,414.481,363.608,698.619,113.241,148.737,169.651,73.5854,82.375,67.7376,46.4972,81.8653,464.518,436.741,636.99
"AAMP","AAMP",1777.07,1717.52,1666.82,1835.87,1722.72,1563.16,891.921,784.006,920.656,848.685,997.326,922.369,787.579,693.297,2061.49,2026.08,2540.96
"AANAT","AANAT",4.08208,3.74596,0,0,1.96545,8.73274,0,0,0,0,0,1.97774,1.07715,0.511658,3.89696,1.64188,0
"AAR2","AAR2",729.332,758.556,943.886,792.071,588.652,695.126,330.384,334.211,273.387,313.263,373.629,282.817,291.909,237.409,922.022,906.32,1140.98
"AARD","AARD",10.8856,1.87298,15.5053,43.4011,14.7409,82.0877,0,8.06407,0,2.10244,3.92262,2.22496,8.97629,6.1399,30.3963,32.8377,13.9998
"AARS","AARS",1128.02,1093.82,1533.09,1236.93,1126.2,1306.42,959.632,707.846,967.121,754.776,924.758,802.221,999.599,894.89,1061.53,1349.63,1098.98
"AARS2","AARS2",240.843,361.485,455.468,303.808,361.642,303.899,239.324,258.946,406.299,238.276,285.371,221.013,213.456,178.057,254.082,295.539,304.495
"AARSD1,PTGES3L,PTGES3L-AARSD1","AARSD1,PTGES3L,PTGES3L-AARSD1",429.98,565.64,730.688,617.381,492.345,602.559,142.427,159.489,130.75,196.928,172.595,191.099,221.176,159.637,403.726,489.281,402.493
"AASDH","AASDH",65.3134,61.8083,44.5778,83.5472,101.221,103.046,171.613,158.593,152.362,158.384,129.446,127.07,129.618,134.054,42.8666,37.7633,45.4993
"AASDHPPT","AASDHPPT",93.8879,132.982,102.723,115.013,126.771,115.272,303.533,275.97,326.336,274.719,338.326,307.786,333.379,390.907,99.7623,87.0198,59.499
"AASS","AASS",145.594,170.441,104.661,142.139,116.944,106.539,136.59,178.305,290.677,229.867,131.408,161.928,187.784,200.058,76.3805,85.3779,52.4991
"AATBC","AATBC",0,0,3.87633,2.17006,0,3.49309,0,5.37604,8.64466,4.90569,0.980655,7.16931,34.1099,13.3031,0.779393,0,0
"AATF","AATF",512.982,631.194,765.575,441.607,617.151,487.287,316.375,365.571,374.962,344.8,342.249,342.396,387.955,260.434,504.267,612.423,489.992
"AATK","AATK",997.389,938.362,800.462,838.727,847.108,661.941,828.879,468.612,852.579,477.954,876.705,123.114,112.383,264.016,1695.96,930.948,1609.97
"AATK-AS1","AATK-AS1",2.72139,5.61894,5.81449,6.51017,3.9309,3.49309,0,0,1.08058,0,0,0,0,0,1.55879,1.64188,0
"ABAT","ABAT",453.111,488.848,288.786,249.557,546.395,298.66,1851.55,697.094,1681.39,485.663,1785.77,473.916,252.772,433.886,825.377,829.151,556.491
"ABCA1","ABCA1",23.1318,22.4757,32.9488,34.7209,34.3953,52.3964,317.542,320.771,595.401,637.74,546.225,752.778,1426.87,546.963,24.1612,32.8377,27.9995
"ABCA10,ABCA5","ABCA10,ABCA5",389.159,348.374,166.682,141.054,292.852,153.696,1015.67,858.375,1164.87,918.766,682.536,812.11,445.762,924.566,60.7926,67.3172,66.4989
"ABCA11P,ZNF721","ABCA11P,ZNF721",193.219,162.949,118.228,155.159,158.219,158.936,261.505,274.178,263.662,237.576,265.757,328.305,235.717,325.415,116.909,178.965,146.998
"ABCA12","ABCA12",0,0,0,1.08503,0.982724,1.74655,0,0,0,0,0,3.95548,152.238,251.736,0,3.28377,0
"ABCA13","ABCA13",2.72139,0,5.81449,1.08503,3.9309,0,37.3579,25.0882,2.16116,11.9138,15.6905,9.8887,21.9021,12.7915,0.779393,0,0
"ABCA17P","ABCA17P",0,1.87298,7.75265,2.17006,0,1.74655,2.33487,0,2.16116,0,0,0,0.897629,1.53497,1.55879,1.64188,0
"ABCA2","ABCA2",359.223,324.025,564.006,461.137,563.101,476.807,333.886,234.754,443.039,421.189,332.442,649.441,564.788,455.376,476.988,287.33,517.992
"ABCA3","ABCA3",127.905,99.2679,143.424,98.7376,129.72,115.272,99.232,102.145,115.622,98.8146,120.621,97.651,134.824,146.846,169.128,105.081,216.996
"ABCA4","ABCA4",183.694,249.106,149.239,83.5472,45.2053,26.1982,82.8879,84.2247,61.5932,121.941,88.2589,4.69713,4.30862,8.69819,265.773,333.302,255.496
"ABCA6","ABCA6",4.08208,5.61894,3.87633,4.34011,3.9309,6.98619,106.237,240.13,164.249,181.511,115.717,184.672,178.808,114.611,4.67636,0,3.49994
"ABCA7","ABCA7",50.3457,39.3326,135.671,73.7819,60.9289,71.6084,261.505,92.2887,209.633,185.715,202.996,155.005,209.507,147.358,64.6896,41.0471,38.4994
"ABCA8","ABCA8",35.3781,11.2379,7.75265,26.0407,14.7409,31.4378,442.458,758.918,645.108,897.041,346.171,1378.24,1114.5,882.099,12.4703,9.8513,13.9998
"ABCA9","ABCA9",12.2463,7.49192,27.1343,13.0203,13.7581,13.9724,63.0415,148.737,111.3,103.72,65.7039,123.362,99.8163,59.864,7.01454,6.56753,6.99989
"ABCA9-AS1","ABCA9-AS1",0,0,0,1.08503,0,0,0,0,0,0,0,0,0,1.02332,0,1.64188,0
"ABCB1","ABCB1",8.16417,142.346,50.3923,17.3605,109.082,55.8895,1200.12,3468.44,2103.89,3197.11,1369.97,982.69,1234.6,429.281,10.1321,16.4188,3.49994
"ABCB10","ABCB10",125.184,63.6813,40.7014,99.8226,127.754,99.5532,659.601,592.261,587.837,437.307,619.774,345.857,286.523,368.906,48.3224,85.3779,45.4993
"ABCB11","ABCB11",0,0,0,0,0.982724,0,0,0,0,1.40163,0,12.3609,4.12909,3.06995,0,0,0
"ABCB4","ABCB4",8.16417,7.49192,0,3.25508,4.91362,0,21.0138,28.6722,10.8058,42.0488,17.6518,30.655,56.9097,14.3264,1.55879,6.56753,0
"ABCB5","ABCB5",5.44278,0,5.81449,2.17006,0,1.74655,0,11.6481,2.16116,4.20488,1.96131,4.44992,15.0802,1.53497,0.779393,0,3.49994
"ABCB6","ABCB6",410.93,412.055,505.861,323.338,384.245,368.521,229.985,79.7446,217.197,124.044,231.435,82.5707,230.691,137.636,504.267,615.706,433.993
"ABCB7","ABCB7",232.679,221.012,195.755,188.795,243.716,176.401,301.198,283.138,364.156,236.875,384.417,275.648,224.946,299.832,183.157,320.167,118.998
"ABCB8","ABCB8",555.164,649.924,1023.35,474.157,401.934,448.863,284.854,250.882,299.321,261.403,334.403,178.738,210.404,183.174,604.809,564.808,741.988
"ABCB9","ABCB9",61.2313,103.014,131.795,99.8226,50.1189,68.1153,64.2089,43.0083,64.8349,77.7902,62.7619,23.4857,73.067,17.3964,173.805,116.574,213.497
"ABCC1","ABCC1",425.897,387.707,564.006,480.668,525.757,523.964,371.244,435.46,367.398,521.405,329.5,350.307,612.542,421.095,445.813,328.377,661.489
"ABCC10","ABCC10",205.465,202.282,288.786,199.645,245.681,193.867,252.166,207.874,265.823,252.993,237.318,194.807,191.913,176.01,286.037,303.748,283.495
"ABCC11","ABCC11",2.72139,0,9.69082,1.08503,0.982724,0,9.33948,3.58403,4.32233,3.50406,12.7485,0.98887,1.79526,1.02332,0,1.64188,0
"ABCC12","ABCC12",0,0,0,0,0,0,0,0,0,1.40163,0,0,0,0,0,0,0
"ABCC13","ABCC13",2.72139,22.4757,15.5053,7.5952,5.89634,15.7189,42.0277,117.377,22.6922,64.4748,29.4196,18.0469,49.3696,14.3264,3.89696,13.1351,10.4998
"ABCC2","ABCC2",160.562,331.517,248.085,28.2107,119.892,29.6913,1476.81,1242.76,2485.34,3327.46,2577.16,19.7774,21.5431,14.8381,158.996,257.776,101.498
"ABCC3","ABCC3",915.748,608.718,1502.08,1311.8,1659.82,1725.59,2247.31,855.687,1386.39,720.436,1702.42,1881.08,933.534,1242.31,1045.95,924.38,773.487
"ABCC4","ABCC4",72.1168,29.9677,25.1961,59.6766,72.7216,59.3826,242.827,265.218,250.695,303.452,309.887,440.047,448.814,727.066,66.2484,88.6617,27.9995
"ABCC5","ABCC5",220.433,211.647,224.827,200.73,237.819,176.401,365.407,295.682,404.138,440.111,274.583,466.5,431.939,383.232,83.395,91.9455,41.9993
"ABCC5-AS1","ABCC5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC6","ABCC6",1074.95,1123.79,1009.78,375.42,595.531,312.632,591.89,247.298,707.781,323.776,445.217,111.001,33.5713,180.615,1286.78,1022.89,1007.98
"ABCC6P1","ABCC6P1",223.154,155.457,94.97,84.6322,122.841,78.5946,162.274,40.3203,156.684,77.7902,168.673,29.6661,12.7463,59.864,166.011,124.783,129.498
"ABCC6P2","ABCC6P2",81.6417,101.141,79.4647,84.6322,73.7043,69.8619,26.851,15.2321,16.2087,11.9138,33.3423,13.8442,6.46293,19.9547,125.482,87.0198,178.497
"ABCC8","ABCC8",171.448,71.1732,182.187,208.325,119.892,66.3688,67.7112,26.8802,44.3039,16.8195,59.8199,21.5079,9.33534,7.67487,243.171,103.439,153.997
"ABCC9","ABCC9",182.333,217.266,300.415,163.839,206.372,230.544,317.542,261.634,329.578,278.223,319.693,258.837,249.002,334.624,162.114,111.648,174.997
"ABCD1","ABCD1",530.671,591.861,662.852,279.937,248.629,267.222,254.501,334.211,489.504,529.815,321.655,110.506,161.035,124.333,644.558,481.072,794.487
"ABCD2","ABCD2",5.44278,1.87298,0,5.42514,0,3.49309,42.0277,26.8802,59.432,58.1675,25.497,32.3855,58.7049,21.4896,5.45575,9.8513,0
"ABCD3","ABCD3",180.972,138.6,141.486,169.264,264.353,190.374,1495.48,1665.68,1583.05,1240.44,1610.24,1456.61,1124.37,1528.83,81.0569,116.574,59.499
"ABCD4","ABCD4",507.539,610.591,817.905,499.113,651.546,394.72,457.635,466.82,476.537,438.008,565.838,251.173,221.176,341.788,540.119,623.916,381.494
"ABCE1","ABCE1",153.759,132.982,67.8357,196.39,210.303,165.922,630.415,618.245,634.302,643.346,684.497,697.648,936.047,631.898,129.379,131.351,115.498
"ABCF1","ABCF1",374.191,436.404,531.057,333.104,482.518,261.982,526.513,611.077,467.892,461.836,544.263,411.617,445.762,334.624,402.946,548.389,591.49
"ABCF2","ABCF2",442.226,363.358,420.582,467.647,490.379,415.678,338.556,340.483,293.918,294.341,331.461,417.303,555.094,314.158,516.738,438.383,671.989
"ABCF3","ABCF3",525.228,803.508,947.762,577.235,675.131,415.678,605.899,444.42,443.039,428.197,463.85,386.896,417.756,374.534,535.443,586.152,538.991
"ABCG1","ABCG1",24.4925,54.3164,96.9082,84.6322,63.8771,82.0877,205.469,524.164,596.481,526.311,716.859,558.959,703.023,217.455,42.0872,80.4523,41.9993
"ABCG2","ABCG2",76.1989,73.0462,27.1343,44.4862,37.3435,22.7051,1299.36,2740.89,2298.4,2876.14,1687.71,501.357,403.035,127.403,41.3078,55.824,31.4995
"ABCG4","ABCG4",9.52486,0,25.1961,7.5952,9.82724,5.23964,2.33487,3.58403,0,5.6065,3.92262,0.741653,4.84719,2.55829,14.0291,3.28377,17.4997
"ABCG5","ABCG5",95.2486,157.33,27.1343,1.08503,2.94817,0,1391.58,2210.45,1691.11,1434.56,1559.24,0.494435,0.718103,8.18653,79.4981,70.601,34.9994
"ABCG8","ABCG8",107.495,91.776,31.0106,0,3.9309,3.49309,1060.03,1597.58,1177.83,1129.71,1090.49,1.23609,0.359051,21.4896,113.012,123.141,55.9991
"ABHD1","ABHD1",5.44278,18.7298,0,4.34011,0.982724,1.74655,0,2.68802,1.08058,0,0,0.247218,1.79526,0,5.45575,3.28377,0
"ABHD10","ABHD10",306.156,325.898,296.539,277.767,301.696,483.794,262.673,228.482,286.354,255.797,301.061,345.61,332.482,399.093,99.7623,159.263,94.4985
"ABHD11","ABHD11",503.457,942.108,1205.54,770.37,657.442,1231.32,284.854,345.859,347.947,367.226,242.222,448.7,349.178,297.273,649.234,806.165,818.987
"ABHD11-AS1","ABHD11-AS1",77.5596,179.806,102.723,73.7819,48.1535,157.189,65.3764,69.8886,77.8019,42.7496,89.2396,61.0628,23.6974,38.3744,129.379,149.411,213.497
"ABHD12","ABHD12",1040.93,1406.61,1971.11,1302.03,1244.13,1390.25,600.062,598.533,622.415,571.163,639.387,550.801,659.218,378.115,1183.9,1308.58,1525.98
"ABHD12B","ABHD12B",0,0,0,1.08503,0,0,0,0,0,2.80325,0,26.4523,23.1588,15.8614,0,0,0
"ABHD13","ABHD13",69.3954,59.9353,23.258,44.4862,78.6179,52.3964,364.24,414.851,437.636,391.754,349.113,311.741,442.531,365.324,50.6605,41.0471,31.4995
"ABHD14A,ABHD14A-ACY1,ACY1","ABHD14A,ABHD14A-ACY1,ACY1",2273.72,3326.41,2734.75,1389.92,1835.73,1419.94,2120.06,1775.89,2256.26,1445.78,2414.37,405.684,481.129,391.93,3489.34,4291.88,3951.44
"ABHD14B","ABHD14B",991.947,1307.34,1391.6,884.298,827.454,976.32,919.939,826.119,1246.99,786.312,1238.57,747.092,566.763,714.786,1022.56,1093.49,1154.98
"ABHD15","ABHD15",302.074,325.898,275.219,207.24,330.195,206.093,336.221,253.57,369.559,278.924,279.487,221.754,211.661,257.876,492.576,369.424,433.993
"ABHD16A","ABHD16A",492.572,387.707,484.541,555.535,477.604,464.582,440.123,347.651,431.152,372.833,459.927,327.316,329.071,302.39,941.507,724.071,979.984
"ABHD16B","ABHD16B",61.2313,91.776,85.2792,84.6322,59.9462,87.3274,21.0138,7.16806,27.0146,23.1268,25.497,34.3632,34.828,22.513,98.9829,68.9591,76.9987
"ABHD17A","ABHD17A",1189.25,1350.42,1657.13,1340.01,904.106,1173.68,176.283,127.233,210.714,205.338,221.628,320.888,332.302,262.481,1849.5,1137.83,3548.94
"ABHD17B","ABHD17B",112.938,89.903,32.9488,79.2071,89.4279,104.793,461.137,336.003,421.427,414.881,443.256,284.547,230.511,390.907,77.9393,90.3036,66.4989
"ABHD17C","ABHD17C",240.843,305.296,329.488,327.679,499.224,501.259,516.006,718.598,507.874,604.101,453.063,1119.4,764.421,1225.42,163.673,274.195,125.998
"ABHD2","ABHD2",1045.01,672.399,532.995,321.168,504.137,382.494,3385.56,3173.66,3788.52,2668.7,4126.6,1841.03,1854.32,2086.54,548.693,1047.52,489.992
"ABHD3","ABHD3",174.169,147.965,17.4435,124.778,219.147,151.95,840.553,930.952,782.342,1029.49,564.857,1021.26,900.142,862.656,134.835,172.398,76.9987
"ABHD4","ABHD4",610.952,687.383,484.541,524.069,422.571,427.904,416.774,432.771,358.753,471.647,354.016,243.509,273.956,205.175,857.332,816.016,1235.48
"ABHD5","ABHD5",210.908,286.566,184.126,116.098,191.631,141.47,398.095,379.011,502.471,382.644,400.107,282.817,243.078,326.95,185.496,249.566,115.498
"ABHD6","ABHD6",619.116,758.556,337.24,92.2274,223.078,94.3135,636.252,635.269,1176.75,905.45,714.897,189.369,179.346,143.264,614.162,630.483,395.494
"ABHD8","ABHD8",330.649,157.33,432.21,303.808,225.044,235.784,36.1905,25.9842,24.8534,30.135,41.1875,56.6128,58.5254,43.4909,326.566,259.418,580.991
"ABI1","ABI1",327.927,168.568,143.424,250.642,365.573,242.77,943.288,1061.77,944.429,974.831,1041.46,1046.72,915.222,1138.44,342.933,313.6,265.996
"ABI2","ABI2",391.88,427.039,296.539,480.668,333.143,420.918,340.891,390.659,318.772,417.685,340.287,368.601,481.129,372.999,240.832,247.924,332.495
"ABI3","ABI3",20.4104,33.7136,36.8251,66.1867,8.84452,10.4793,120.246,117.377,132.912,165.392,97.0848,120.642,184.552,55.7707,21.823,19.7026,24.4996
"ABI3BP","ABI3BP",815.056,541.291,358.56,645.592,422.571,578.107,130.753,477.572,169.651,701.514,212.802,715.201,2418.75,498.867,701.454,543.463,797.987
"ABL1","ABL1",1464.11,1191.21,1242.36,1442,1650.98,1126.52,793.856,808.199,794.228,985.343,1036.55,1248.7,1141.6,1149.7,1886.13,1604.12,2575.96
"ABL2","ABL2",102.052,93.6489,112.413,112.843,99.2551,125.751,308.203,219.522,297.16,213.748,282.429,366.871,403.753,411.373,45.9842,78.8104,62.999
"ABLIM1","ABLIM1",389.159,498.212,660.914,364.57,633.857,480.3,1487.31,1854.73,1958.02,1631.49,2348.67,2513.71,1987.17,2988.6,168.349,303.748,174.997
"ABLIM2","ABLIM2",57.1492,22.4757,77.5265,60.7616,58.9634,76.8481,60.7066,77.9526,151.282,84.7984,59.8199,91.7177,53.8577,64.4689,67.0278,62.3916,48.9992
"ABLIM3","ABLIM3",183.694,161.076,174.435,72.6969,61.9116,34.9309,130.753,126.337,127.509,185.715,95.1235,134.239,253.131,144.288,103.659,72.2429,87.4986
"ABO","ABO",6.80347,9.36489,15.5053,20.6155,26.5336,41.9171,32.6882,244.61,221.519,337.091,166.711,173.052,189.759,330.531,18.7054,8.20942,27.9995
"ABR","ABR",1457.3,1269.88,1379.97,1144.7,1731.56,1381.52,1765.16,1993.62,1883.45,2003.62,1741.64,1954.5,1406.4,1563.63,1611.01,1423.51,1637.97
"ABRA","ABRA",0,0,0,0,0,0,0,0,0,0,0,1.73052,3.23146,0,0,0,0
"ABRACL","ABRACL",366.027,331.517,300.415,318.998,460.898,429.651,519.509,399.619,403.057,371.431,357.939,557.476,464.254,521.891,417.755,481.072,440.993
"ABT1","ABT1",401.405,370.85,315.921,486.093,348.867,424.411,246.329,192.642,262.581,245.285,305.964,238.812,231.768,199.547,637.543,471.221,664.989
"ABTB1","ABTB1",375.552,584.369,916.751,463.307,321.351,379.001,304.701,267.01,262.581,253.694,216.725,177.749,170.549,167.824,353.065,284.046,307.995
"ABTB2","ABTB2",23.1318,7.49192,17.4435,56.4215,53.0671,41.9171,352.565,357.507,250.695,275.42,313.81,303.336,217.765,165.266,67.8072,68.9591,62.999
"ACAA1","ACAA1",2190.72,2161.42,2796.77,1391.01,2345.76,1444.39,1532.84,1231.11,1585.21,1379.9,1910.32,850.923,728.156,621.153,2439.5,2548.2,2064.97
"ACAA2","ACAA2",1364.78,1457.18,1986.62,2070.23,2713.3,2607.59,2666.42,2418.32,2884.07,2307.08,2030.94,1717.42,1146.81,945.033,1717,2003.1,1434.98
"ACACA","ACACA",644.969,541.291,608.583,565.3,570.963,861.048,506.667,339.587,318.772,338.493,377.552,572.803,528.344,1055.04,398.27,551.673,503.992
"ACACB","ACACB",363.306,457.007,556.253,347.209,363.608,431.397,668.94,715.014,1017.91,705.719,709.013,624.224,413.268,529.566,465.298,492.565,486.492
"ACAD10","ACAD10",382.355,410.182,565.944,269.087,349.85,321.365,423.779,396.035,584.595,428.898,520.728,286.772,199.633,298.297,384.241,369.424,321.995
"ACAD11,NPHP3,NPHP3-ACAD11","ACAD11,NPHP3,NPHP3-ACAD11",523.868,475.737,242.27,231.111,305.627,179.894,1444.12,1213.19,1883.45,986.745,1390.57,385.907,470.896,457.422,249.406,267.627,157.497
"ACAD8","ACAD8",251.729,213.52,219.012,201.815,208.338,160.682,300.031,185.473,257.179,220.756,281.448,238.318,222.971,238.944,219.789,236.431,150.498
"ACAD9","ACAD9",459.915,470.118,548.5,518.644,493.328,476.807,250.999,236.546,291.757,299.948,307.926,266.748,292.088,239.456,489.459,515.551,633.49
"ACADL","ACADL",0,0,0,0,0.982724,0,9.33948,2.68802,0,1.40163,0,1.23609,6.82198,7.67487,0,0,0
"ACADM","ACADM",157.841,136.727,65.8976,141.054,224.061,160.682,1864.39,1723.92,2428.07,1315.43,2608.54,711.492,741.8,841.166,98.2035,177.323,90.9985
"ACADS","ACADS",2661.52,3493.11,4884.17,2436.97,2777.18,3084.4,1117.24,869.127,1185.4,809.439,1287.6,777.994,400.701,489.657,4631.93,4690.86,5942.9
"ACADSB","ACADSB",229.957,249.106,114.352,162.754,157.236,164.175,2640.74,456.068,930.381,376.337,2543.82,786.399,405.19,778.744,202.642,302.107,90.9985
"ACADVL","ACADVL",4835.91,6233.27,7365.02,4931.45,4300.4,4776.81,8463.91,6690.49,8414.49,6399.12,7440.23,2978.73,2867.03,3080.18,5670.08,5211.34,5372.41
"ACAN","ACAN",16.3283,1.87298,1.93816,26.0407,11.7927,10.4793,0,2.68802,0,0,3.92262,10.6304,15.6187,21.4896,4.67636,13.1351,6.99989
"ACAP1","ACAP1",20.4104,31.8406,58.1449,39.061,14.7409,24.4517,190.292,131.713,330.658,285.932,182.402,126.575,163.189,61.399,28.0581,14.777,34.9994
"ACAP2","ACAP2",89.8059,110.506,100.785,115.013,126.771,89.0739,985.315,760.71,936.865,981.138,928.68,1071.44,1040.35,1106.2,55.3369,100.155,31.4995
"ACAP3","ACAP3",1050.46,1326.07,1728.84,1308.54,1043.65,1123.03,375.914,305.538,345.786,297.846,366.765,263.781,319.915,244.573,1038.93,707.652,1417.48
"ACAT1","ACAT1",512.982,421.42,521.366,431.841,646.632,471.568,1272.5,619.141,1241.59,456.229,1367.03,1041.03,609.49,1033.04,726.394,801.239,402.493
"ACAT2","ACAT2",594.624,340.882,523.304,591.34,485.466,527.457,544.025,205.186,164.249,147.872,234.377,178.491,200.71,657.992,460.621,576.301,493.492
"ACBD3","ACBD3",137.43,176.06,122.104,124.778,178.856,118.765,589.555,680.069,490.584,591.486,516.805,836.337,803.378,1087.79,55.3369,96.8711,104.998
"ACBD4","ACBD4",387.798,445.769,562.067,317.913,237.819,289.927,435.453,199.81,595.401,316.067,460.908,96.6621,99.6368,101.82,492.576,364.498,731.488
"ACBD5","ACBD5",224.515,151.711,94.97,130.203,194.579,164.175,1239.82,1085.96,1391.79,1093.97,1286.62,761.43,506.801,974.709,179.26,224.938,87.4986
"ACBD6","ACBD6",406.848,372.723,354.684,445.947,371.47,482.047,150.599,136.193,161.007,112.831,172.595,181.952,211.122,162.196,482.444,454.802,689.489
"ACBD7","ACBD7",34.0174,28.0947,52.3304,53.1664,41.2744,69.8619,14.0092,16.1281,11.8864,12.6146,14.7098,12.8553,4.12909,17.908,14.8085,22.9864,24.4996
"ACCS","ACCS",200.022,342.755,337.24,207.24,160.184,169.415,137.757,121.857,164.249,150.675,91.2009,54.1407,64.4497,72.1438,112.233,85.3779,125.998
"ACCSL","ACCSL",0,0,0,0,0,0,0,0,0,1.40163,0,0.247218,0,0,0,0,0
"ACD","ACD",254.45,327.771,465.159,379.76,247.646,358.042,73.5484,68.0965,78.8825,75.6878,73.5491,72.682,92.4557,50.1425,408.402,341.512,587.99
"ACE","ACE",1111.69,3202.79,1003.97,279.937,351.815,195.613,4717.61,10169.7,11301.8,8194.61,8999.47,448.206,419.552,490.168,435.681,610.781,314.995
"ACE2","ACE2",1260,2429.25,1482.7,312.488,1047.58,529.204,5241.78,7319.48,9514.53,4942.13,6134,192.088,259.594,584.825,754.452,1807.71,521.491
"ACER1","ACER1",1.36069,0,0,0,0.982724,0,0,0,0,0.700813,0,0,0.359051,0,0,0,0
"ACER2","ACER2",5.44278,3.74596,1.93816,2.17006,11.7927,20.9586,131.92,43.9044,137.234,44.1512,101.988,124.103,186.168,84.9353,3.89696,11.4932,3.49994
"ACER3","ACER3",106.134,164.822,186.064,132.373,120.875,209.586,675.945,379.907,292.838,343.398,555.051,608.897,488.13,750.602,42.8666,45.9727,59.499
"ACHE","ACHE",99.3307,177.933,98.8463,88.9723,68.7907,75.1015,155.269,275.97,177.215,131.052,66.6845,113.226,192.811,129.961,162.893,149.411,150.498
"ACIN1","ACIN1",1700.87,1964.75,2659.16,1685.05,2275.01,1598.09,1281.84,1224.84,1348.57,1311.22,1243.47,1065.51,1104.62,1180.91,1467.6,1467.84,1511.98
"ACKR1","ACKR1",1.36069,7.49192,13.5671,0,0,0,190.292,161.281,96.1718,186.416,120.621,100.865,276.829,98.75,3.89696,0,0
"ACKR2","ACKR2",1.36069,0,3.87633,3.25508,5.89634,8.73274,11.6744,12.5441,6.48349,14.7171,10.7872,21.2607,30.5194,21.4896,0,8.20942,0
