"","gene_short_name","Noggin-TXP_2","Noggin-TXP_1","Noggin-TXP_0","BMP-TXP_0","BMP-TXP_2","BMP-TXP_1","adult-SI_3","adult-SI_2","adult-SI_0","adult-SI_1","adult-SI_4","adult-colon_2","adult-colon_1","adult-colon_0","EGF-TXP_0","EGF-TXP_1","EGF-TXP_2"
"ZNF100","ZNF100",28.5746,7.49192,27.1343,28.2107,11.7927,26.1982,85.2228,138.881,145.879,153.478,100.027,138.689,142.005,173.964,13.2497,16.4188,10.4998
"ZNF101","ZNF101",68.0347,61.8083,52.3304,59.6766,70.7561,54.143,100.399,110.209,124.267,105.823,102.969,159.455,131.951,115.123,63.9102,47.6146,80.4987
"ZNF106","ZNF106",421.815,297.804,300.415,294.043,390.141,401.706,775.177,794.758,929.301,1033,985.558,1377.99,1466.37,1622.98,240.053,257.776,318.495
"ZNF107","ZNF107",17.689,11.2379,13.5671,30.3808,28.499,38.424,157.604,148.737,258.259,153.478,191.228,202.224,145.775,161.172,37.4109,26.2701,3.49994
"ZNF112","ZNF112",55.7885,28.0947,38.7633,44.4862,45.2053,13.9724,96.8971,56.4485,79.9631,63.774,84.3363,88.2567,51.5239,74.1904,40.5284,50.8984,59.499
"ZNF114","ZNF114",20.4104,5.61894,21.3198,44.4862,20.6372,33.1844,2.33487,0.896007,4.32233,0.700813,2.94196,1.73052,1.79526,1.02332,36.6315,16.4188,62.999
"ZNF12","ZNF12",168.726,155.457,112.413,148.649,145.443,155.443,461.137,360.195,387.929,384.046,456.985,543.137,336.072,477.889,111.453,172.398,136.498
"ZNF121","ZNF121",12.2463,13.1109,1.93816,9.76525,12.7754,17.4655,49.0323,49.2804,41.0621,51.8602,39.2262,57.6017,54.5758,51.6775,13.2497,4.92565,59.499
"ZNF124","ZNF124",38.0995,33.7136,21.3198,61.8466,50.1189,47.1568,101.567,108.417,102.655,74.987,113.756,143.386,80.607,104.378,41.3078,34.4796,62.999
"ZNF131","ZNF131",118.38,103.014,29.0725,90.0574,142.495,90.8204,254.501,186.37,229.083,224.26,172.595,260.073,220.637,255.829,71.7041,75.5266,69.9989
"ZNF132","ZNF132",27.2139,22.4757,36.8251,41.2311,57.9807,31.4378,35.0231,30.4642,36.7398,41.348,43.1488,38.0715,36.2642,52.1891,35.0727,36.1214,31.4995
"ZNF133","ZNF133",307.517,333.39,571.758,369.995,398.986,249.756,106.237,81.5367,83.2048,96.0114,87.2783,85.0429,76.837,95.1684,278.243,251.208,412.993
"ZNF134","ZNF134",87.0845,43.0785,58.1449,67.2718,69.7734,85.5808,77.0507,100.353,111.3,115.634,97.0848,106.304,111.845,89.5402,95.8653,98.513,111.998
"ZNF135","ZNF135",69.3954,56.1894,38.7633,70.5268,70.7561,45.4102,35.0231,46.5924,22.6922,42.7496,34.3229,28.6772,47.2153,30.6995,41.3078,39.4052,31.4995
"ZNF136","ZNF136",57.1492,22.4757,9.69082,42.3161,43.2399,36.6775,106.237,133.505,133.992,94.6098,78.4524,120.395,121.18,101.82,52.2193,42.689,31.4995
"ZNF137P","ZNF137P",27.2139,76.7921,17.4435,37.976,38.3262,59.3826,49.0323,45.6964,72.399,51.8602,48.0521,41.5326,30.5194,46.5609,17.926,4.92565,13.9998
